name,website,country,city,industry_category,short_description,products_services,uses_gis,uses_remote_sensing,uses_drones,uses_lidar,uses_satellite_data,source_links,linkedin_url,followers,estimated_revenue,company_name,hq_country,hq_city,founded_year,status,main_product_or_service,product_category,core_use_cases,industry_verticals,delivery_model,target_customer_type,target_roles,regions_served,notable_customers,pricing_model,pricing_public,entry_price_or_plan,revenue_model,key_differentiators,main_competitors,partnerships,channel,go_to_market_notes,employee_count,linkedin_followers,funding,estimated_revenue_or_proxy,web_traffic_proxy,recent_news_or_launches,last_verified_date,data_sources,tech_stack_or_platform_notes,competitive_with_brooksie,potential_customer_of_brooksie,brooksie_as_customer_of_them
1GlobalSyS Inc,https://1globalsys.com/,United States,Margate,GIS / Esri partner,GIS Management & Consultation Specialists - Our team focuses in the areas of Geographical Information Systems (GIS).Our consultants will take the time to sit down...,"Data Conversion/Migration, Data Model & Database Design, Implementation, Needs and Requirements, System Architecture and Design, Training Services",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/1globalsys-inc-a2T5x000007ucfjEAA | https://1globalsys.com/ | https://1globalsys.com/about.html,,,,1GlobalSyS Inc,United States,Margate,2009,active,"Data Conversion/Migration, Data Model & Database Design, Implementation, Needs and Requirements, System Architecture and Design, Training Services",consulting / integration services,unknown,AEC / infrastructure; energy / utilities; environmental services,services,SMB; enterprise,GIS analyst; planner,Global,unknown,services,unknown,unknown,Services and project fees,consulting / integration services,Esri partners; GIS consultancies; system integrators,Esri,partner-led,Partner-oriented GTM into SMB; enterprise accounts for consulting / integration services.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data,unknown,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
1Spatial,https://1spatial.com/,France,Paris,geospatial / remote sensing company,"1Spatial is a global leader in providing Location Master Data Management (LMDM) software, solutions and business applications, primarily to the Government, Utilities, Transport and Building...","Application Development, Business Case Development, Data Conversion/Migration, Data Model & Database Design, GIS Strategy and Planning, Hosting Services, Implementation, Needs and Requirements, System Architecture and Design, System Integration, Training Services | Application Development, Business Case Development, Data Conversion/Migration, Data Model & Database Design, GIS Strategy and Planning, Implementation, Needs and Requirements, System Architecture and Design, System Integration, Training Services",yes,yes,yes,unknown,yes,https://geoawesome.com/global-top-100-geospatial-companies-2025/ | https://geoawesome.com/global-top-100-geospatial-companies-2024-edition/ | https://geoawesome.com/global-top-100-geospatial-companies-2023-edition/ | https://github.com/AlexArcPy/geospatial-careers | https://github.com/YanCheng-go/Awesome-Geospatial-Intelligence-Companies | https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/1spatial-a2T390000003E2QEAU | https://www.esri.com/partners/1spatial-a2T70000000TNIuEAO | https://1spatial.com/ | https://1spatial.com/about-us/ | https://1spatial.com/about-us/clients/ | https://1spatial.com/news-events/,,,,1Spatial,France,Paris,unknown,acquired,Geospatial data and imagery service,geospatial data provider,site selection; surveying; reporting,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,API; SaaS; services; on-prem,consumer; government; SMB; enterprise,GIS analyst; planner; developer; surveyor; remote sensing analyst,Global,"customers include national mapping and land management agencies, utility companies, transportation organisations, government and defence departments See how we've helped...",services,unknown,unknown,Services and project fees,"browser-based, collaborative geospatial data provider",Mapbox; Foursquare; Planet; HERE,Esri; Safe Software / FME,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for geospatial data provider.,unknown,unknown,unknown,unknown,unknown,Recent source: https://geoawesome.com/global-top-100-geospatial-companies-2025/,2026-04-17,GIS data; location / POI data; API integrations; weather / climate data,browser-based; API-first; cloud platform; no-code / low-code,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
1Spatial Group Limited,https://1spatial.com/,Australia,Sydney,data integration / FME partner,"1Spatial Group provides advanced FME services for geospatial data quality, integration, and automation.","MSP, VAR",yes,unknown,unknown,unknown,unknown,https://fme.safe.com/partners/find-a-partner/ | https://fme.safe.com/partners/1spatial-group-limited/ | https://1spatial.com/ | https://1spatial.com/about-us/ | https://1spatial.com/about-us/clients/ | https://1spatial.com/news-events/,,,,1Spatial Group Limited,Australia,Sydney,unknown,acquired,"MSP, VAR",geospatial data provider,site selection; surveying; reporting,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,API; SaaS; services; on-prem,consumer; government; SMB; enterprise,GIS analyst; planner; developer; surveyor; data analyst,Global,"customers include national mapping and land management agencies, utility companies, transportation organisations, government and defence departments See how we've helped...",services,unknown,unknown,Services and project fees,"browser-based, collaborative geospatial data provider",Mapbox; Foursquare; Planet; HERE,Esri; Safe Software / FME,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for geospatial data provider.,unknown,unknown,unknown,unknown,unknown,1Spatial's News & Events | 1Spatial,2026-04-17,GIS data; location / POI data; API integrations; weather / climate data,browser-based; API-first; cloud platform; no-code / low-code,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
1Spatial Inc,https://1spatial.com/,United States,Vienna,GIS / Esri partner,1Spatial is a software solutions provider and global leader in managing geospatial data. We work with our clients to deliver real value by making data...,"Data Conversion/Migration, Implementation, System Architecture and Design, System Integration",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/1spatial-inc-a2TUU000000aC4H2AU | https://1spatial.com/us/careers/ | https://1spatial.com/us/about-us/customers/ | https://1spatial.com/us/investors/news/ | https://1spatial.com/,,,,1Spatial Inc,United States,Vienna,unknown,acquired,"Data Conversion/Migration, Implementation, System Architecture and Design, System Integration",geospatial data provider,field operations; project tracking; site selection; surveying; reporting,government; AEC / infrastructure; energy / utilities; logistics / mobility; real estate,API; SaaS; desktop; services,consumer; government; enterprise,GIS analyst; planner; developer; project manager; surveyor,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,"browser-based, collaborative geospatial data provider",Mapbox; Foursquare; Planet; HERE,Esri; Safe Software / FME,partner-led,Partner-oriented GTM into consumer; government; enterprise accounts for geospatial data provider.,unknown,unknown,unknown,unknown,unknown,Latest Investment News - 1Spatial US | 1Spatial,2026-04-17,GIS data; location / POI data; API integrations,browser-based; cloud platform; real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
1Spatial USA,https://1spatial.com/,United Kingdom,unknown,geospatial data provider,"Leaders in Managing Geospatial Data | 1Spatial 1Spatial is a geospatial data management and master data management provider, delivering real value by making geospatial data...",Geospatial data and imagery service,yes,unknown,unknown,unknown,unknown,https://www.linkedin.com/company/1spatial/ | https://1spatial.com/ | https://1spatial.com/about-us/ | https://1spatial.com/about-us/clients/ | https://1spatial.com/news-events/,https://www.linkedin.com/company/1spatial/,1617,,1Spatial USA,United Kingdom,unknown,unknown,acquired,Geospatial data and imagery service,geospatial data provider,site selection; surveying; reporting,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,API; SaaS; services; on-prem,consumer; government; SMB; enterprise,GIS analyst; planner; developer; surveyor; data analyst,Global,"customers include national mapping and land management agencies, utility companies, transportation organisations, government and defence departments See how we've helped...",services,unknown,unknown,Services and project fees,"browser-based, collaborative geospatial data provider",Mapbox; Foursquare; Planet; HERE,Esri; Safe Software / FME,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for geospatial data provider.,unknown,1617,unknown,unknown,unknown,1Spatial's News & Events | 1Spatial,2026-04-17,GIS data; location / POI data; API integrations; weather / climate data,browser-based; API-first; cloud platform; no-code / low-code,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
20/20 Geomatics,https://2020geomatics.com/,Canada,Regina,surveying / geospatial,"Saskatchewan-owned land surveying firm offering subdivisions, boundary surveys, RPRs, construction layouts, topographic surveys, drone mapping & more. 20/20 Geomatics serves the Regina area and many...","surveying, mapping, drone services",yes,unknown,yes,unknown,unknown,https://www.2020geomatics.com/ | https://www.2020geomatics.com/about | https://2020geomatics.com/,,,,20/20 Geomatics,Canada,Regina,2011,acquired,"surveying, mapping, drone services",surveying services,field operations; site selection; drone mapping; surveying; reporting,government; AEC / infrastructure; agriculture; real estate; travel / tourism,API; services,consumer; government,GIS analyst; planner; developer; surveyor; drone operator,Canada,unknown,services,unknown,unknown,Services and project fees,AI-native surveying services,Esri partners; surveying firms; drone mapping vendors,Partner ecosystem,partner-led,Partner-oriented GTM into consumer; government accounts for surveying services.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,drone imagery; location / POI data,AI / machine learning; API-first,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,"Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
2000 Aviation,http://www.2000aviation.com/,,unknown,earth observation / Planet partner,Partner brand listed in the Planet partner directory.,"Earth observation, geospatial analytics, or satellite data services",yes,yes,unknown,unknown,yes,https://partner.planet.com/directory/s/list | https://partner.planet.com/directory/s/accountbrand/0TUHp00000008XPOAY/2000-aviation | http://www.2000aviation.com/,,,,2000 Aviation,unknown,unknown,unknown,unknown,"Earth observation, geospatial analytics, or satellite data services",earth observation analytics,geospatial analysis; satellite imagery analysis,unknown,services,enterprise,remote sensing analyst; data analyst,unknown,unknown,services,unknown,unknown,Services and project fees,earth observation analytics,Planet; Picterra; Brooksie AI; UP42,Planet,partner-led,Partner-oriented GTM into enterprise accounts for earth observation analytics.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,satellite imagery,unknown,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
2Excel Geospatial,https://2excelgeo.com/,United Kingdom,unknown,geospatial software / GIS,"From data capture to data delivery and everything in between, our team of specialists has particular expertise in the acquisition and processing of hyperspectral imagery...",satellite data,yes,yes,yes,yes,yes,https://www.2excelgeo.com/ | https://www.2excelgeo.com/using-aerial-photography-to-inform-new-planting-planning/ | https://www.2excelgeo.com/case-study-seals-survey/ | https://www.2excelgeo.com/news/ | https://2excelgeo.com/,,,,2Excel Geospatial,United Kingdom,unknown,unknown,acquired,satellite data,location data API,data visualization; route optimization; satellite imagery analysis; drone mapping; surveying,government; energy / utilities; environmental services; agriculture; logistics / mobility,API; SaaS,consumer; government; SMB; enterprise,GIS analyst; planner; developer; surveyor; drone operator,unknown,unknown,unknown,yes,"£6,800",unknown,collaborative location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,unknown,direct,Direct website-led GTM into consumer; government; SMB; enterprise users for location data API.,unknown,unknown,unknown,unknown,unknown,News | 2Excel Geo,2026-04-17,GIS data; satellite imagery; drone imagery; LiDAR / point clouds; location / POI data,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
2NDNATURE,https://2ndnaturewater.com/,United States,Santa Cruz,GIS / Esri partner,"The stormwater management solution for your ArcGIS. 2NDNATURE serves the stormwater information management, compliance, and science needs of cities, counties, state agencies, universities, and public...","Data Model & Database Design, GIS Strategy and Planning, Implementation",yes,unknown,unknown,unknown,yes,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/2ndnature-a2T39000001dUUKEA2 | https://www.2ndnaturewater.com/ | https://www.2ndnaturewater.com/about-2ndnature/ | https://www.2ndnaturewater.com/scenario-planning-module/ | https://www.2ndnaturewater.com/case-study/salinas-stormwater-asset-management-transformation/ | https://www.2ndnaturewater.com/resources/?type=4 | https://2ndnaturewater.com/,,,,2NDNATURE,United States,Santa Cruz,unknown,active,"Data Model & Database Design, GIS Strategy and Planning, Implementation",location data API,data visualization; field operations; project tracking; site selection; surveying,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,API; SaaS; desktop; mobile; services,consumer; government; enterprise,GIS analyst; planner; developer; project manager; surveyor,United States,unknown,subscription,unknown,unknown,SaaS subscriptions,"collaborative, AI-native location data API",Mapbox; Foursquare; Geocode.XYZ; Placekey,Esri; Planet,partner-led,Partner-oriented GTM into consumer; government; enterprise accounts for location data API.,unknown,unknown,unknown,unknown,unknown,2NDNATURE Resources,2026-04-17,GIS data; satellite imagery; location / POI data; API integrations; weather / climate data,AI / machine learning; cloud platform,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
3 GIS LLC,https://3-gis.com/,United States,Decatur,GIS / Esri partner,"3-GIS, an SSP Innovations company, empowers companies to achieve better operating efficiencies and to meet the challenges of building increasingly complex telecom networks. 3-GIS uses...","Data Conversion/Migration, GIS Strategy and Planning, Hosting Services, System Integration, Training Services",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/3-gis-llc-a2T70000000TNIvEAO | https://www.3-gis.com/telecom-and-utility-network-management-software-3-gis | https://www.3-gis.com/en/about-us | https://www.3-gis.com/fiber-network-planning-and-management-webinar-library | https://www.3-gis.com/customer-stories | https://blog.3-gis.com/blog | https://3-gis.com/,,,,3 GIS LLC,United States,Decatur,2006,acquired,"Data Conversion/Migration, GIS Strategy and Planning, Hosting Services, System Integration, Training Services",location data API,data visualization; field operations; project tracking; route optimization; reporting,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,API; SaaS; desktop; mobile; services; on-prem,consumer; government; SMB; enterprise,GIS analyst; planner; developer; project manager; field operations manager,North America; Middle East; United States; Canada; Germany,unknown,usage-based,unknown,unknown,Usage-based platform or API fees,"browser-based, collaborative, AI-native, real-time location data API",Mapbox; Foursquare; Geocode.XYZ; Placekey,Esri,partner-led,Partner-oriented GTM into consumer; government; SMB; enterprise accounts for location data API.,unknown,unknown,unknown,unknown,unknown,3-GIS | Fiber Network Management: Blog and News,2026-04-17,GIS data; location / POI data; API integrations,browser-based; AI / machine learning; API-first; cloud platform; real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
3 Points in Space Media,https://3pointsinspacemedia.com/,Canada,unknown,geospatial company,"With the development of the UAV industry (commonly called drones), 3 Points In Space Media Ltd. is taking terrestrial mapping to the next level.",Location data and geocoding API,yes,unknown,yes,unknown,unknown,https://canadiangis.com/canadian-geospatial-directory/geo-category/geospatial-companies | https://3pointsinspacemedia.com/,,,,3 Points in Space Media,Canada,unknown,unknown,unknown,Location data and geocoding API,location data API,drone mapping,unknown,API,enterprise,GIS analyst; drone operator,unknown,unknown,unknown,unknown,unknown,unknown,location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,unknown,direct,Direct website-led GTM into enterprise users for location data API.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,drone imagery; location / POI data,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
372 Consulting,https://372consulting.com/,,unknown,consulting / integration services,consulting / integration services,Geospatial consulting and integration services,unknown,unknown,unknown,unknown,unknown,https://372consulting.com/,,,,372 Consulting,unknown,unknown,unknown,unknown,Geospatial consulting and integration services,consulting / integration services,unknown,unknown,services,enterprise,unknown,unknown,unknown,services,unknown,unknown,Services and project fees,consulting / integration services,Esri partners; GIS consultancies; system integrators,unknown,direct,Direct website-led GTM into enterprise users for consulting / integration services.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
3AM Innovations Inc,https://3aminnovations.com/,United States,Buffalo,GIS / Esri partner,"Our mission is to complement, not complicate, emergency operations with technology and service.We know that technology doesnt mitigate emergencies, people do. Thats why our FLORIAN...",Application Development,yes,unknown,unknown,unknown,yes,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/3am-innovations-inc-a2T5x000008VXbJEAW | https://3aminnovations.com/ | https://3aminnovations.com/resources/about/ | https://3aminnovations.com/resources/news/,,,,3AM Innovations Inc,United States,Buffalo,2019,active,Application Development,consumer mapping app,satellite imagery analysis; collaboration,government; AEC / infrastructure; energy / utilities; defense / intelligence; travel / tourism,SaaS; mobile; services,consumer; government; enterprise,GIS analyst; developer,United States,unknown,services,unknown,unknown,Services and project fees,real-time consumer mapping app,Google Maps; Mapbox; Foursquare,Esri,partner-led,Partner-oriented GTM into consumer; government; enterprise accounts for consumer mapping app.,unknown,unknown,unknown,unknown,unknown,News - 3AM Innovations,2026-04-17,GIS data; satellite imagery; API integrations,AI / machine learning; real-time collaboration,Low direct competition; limited overlap with Brooksie's enterprise geospatial research and execution workflows.,"Low fit as a core customer; possible internal use for market, place, or operations research.","Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
3D Engineering,https://3d-engineering.eu/,Latvia,unknown,surveying / geospatial exhibitor,INTERGEO 2025 exhibitor.,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",yes,unknown,yes,yes,unknown,https://dvw.de/intergeo/en/exhibitors-products/exhibitor-directory | https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf | https://3d-engineering.eu/ | https://3d-engineering.eu/about-3d-engineering | https://3d-engineering.eu/our-pricing | https://3d-engineering.eu/case-studies,,,,3D Engineering,Latvia,unknown,unknown,acquired,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",LiDAR / 3D geospatial,map creation; data visualization; field operations; project tracking; route optimization,AEC / infrastructure; energy / utilities; environmental services; logistics / mobility; travel / tourism,SaaS; services,consumer; enterprise,GIS analyst; planner; project manager; surveyor,Global,"TRUSTED BY OPERATORS OF CRITICAL INFRASTRUCTURE Our clients operate assets where data accuracy, safety and compliance are non-negotiable. Document TALK...",services,yes,Free,Services and project fees,real-time LiDAR / 3D geospatial,RIEGL; Pix4D; Bentley,Partner ecosystem,marketplace,Marketplace-led distribution for LiDAR / 3D geospatial.,unknown,unknown,unknown,unknown,unknown,Recent source: https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf,2026-04-17,drone imagery; LiDAR / point clouds; location / POI data; API integrations,cloud platform; real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
3D laser mapping,https://3dlasermapping.com/,United Arab Emirates,unknown,geospatial / remote sensing,"D laser mapping geospatial / remote sensing GeoSLAM Migration GeoSLAM Migration Contact Us GeoSLAM’s Post-acquisition Hub: A Place for Solutions, Support and General Information",LiDAR and 3D geospatial platform,yes,yes,yes,yes,yes,https://github.com/AlexArcPy/geospatial-careers | https://www.faro.com/en/LP/GeoSLAM-Migration | https://www.faro.com/en/About-Us/Contact-Us | https://www.faro.com/en/About-Us/News | https://3dlasermapping.com/,,,,3D laser mapping,United Arab Emirates,unknown,unknown,acquired,LiDAR and 3D geospatial platform,LiDAR / 3D geospatial,data visualization; drone mapping; surveying; reporting,government; AEC / infrastructure; energy / utilities; environmental services; defense / intelligence,API; SaaS; desktop; mobile,consumer; government; enterprise,GIS analyst; planner; developer; surveyor; drone operator,Global,unknown,subscription,unknown,unknown,SaaS subscriptions,LiDAR / 3D geospatial,RIEGL; Pix4D; Bentley,Partner ecosystem,partner-led,Partner-oriented GTM into consumer; government; enterprise accounts for LiDAR / 3D geospatial.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,drone imagery; LiDAR / point clouds; location / POI data; API integrations,API-first; cloud platform,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
